"length","type","comblength","height","probability"
12,"Straight",6,14,0.005119204329384233
12,"Single",1,9,0.034017690122629965
12,"Single",1,10,0.03378674857393594
12,"Pair",2,3,0.013818002663525862
12,"Straight",5,13,0.008783476901996105
12,"Single",1,11,0.032347212920409846
13,"FullHouse",5,2,0.004022289945449528
13,"Trio",3,2,0.004139729067944404
13,"SquareBomb",4,2,0.00048737235835373836
13,"PairSteps",2,3,0.005560742450132413
13,"Pair",2,2,0.012501394589579627
13,"Single",1,15,0.012395699379334237
8,"Single",1,2,0.04953204258055298
8,"Single",1,3,0.049074801743230693
8,"Pair",2,12,0.01255268986211331
8,"Single",1,0,0.016267771665356864
8,"Single",1,9,0.0519254125884118
8,"Pair",2,3,0.01191683932271201
13,"Pair",2,9,0.01236633959871052
13,"Single",1,4,0.030123134919935877
13,"Pair",2,7,0.012008150275101144
14,"Straight",7,14,0.004624086194951971
14,"Straight",6,14,0.006931993258264314
7,"Pair",2,9,0.015785826124900537
7,"SquareBomb",4,9,0.0003593521394286301
7,"Trio",3,9,0.0036448574142046767
7,"Single",1,6,0.03963140737698606
7,"Single",1,9,0.044097641109884754
7,"Single",1,2,0.036756590261557025
7,"Single",1,15,0.016889550553145616
10,"Single",1,5,0.036801662109106466
10,"Single",1,2,0.033257458867382635
10,"PairSteps",2,11,0.004124719289937213
10,"Pair",2,11,0.014192089705006187
10,"Single",1,3,0.033578270367711084
10,"Single",1,4,0.03516705113124246
10,"Straight",5,6,0.007500878412441375
10,"Pair",2,2,0.014130982752562672
10,"Single",1,11,0.03545730915534915
7,"Single",1,7,0.04266023255217023
7,"Straight",5,11,0.0050052619420416335
7,"Single",1,8,0.04343027285094587
7,"Single",1,1.5,0.01599117020457404
7,"Single",1,13,0.04956492723119177
7,"Single",1,10,0.04686978618547704
7,"Single",1,11,0.048230190713314
11,"Straight",6,8,0.00633783722716797
11,"StraightBomb",5,8,0.0002711374214831217
11,"Straight",6,9,0.00741108952053866
11,"Trio",3,7,0.0033666229834154278
11,"Single",1,3,0.03243481404491843
11,"Single",1,4,0.03410682814406435
11,"Pair",2,7,0.012686971846897736
11,"FullHouse",5,7,0.0032084594875502735
11,"Straight",7,9,0.00425911699579737
11,"Single",1,13,0.03307876542094085
11,"Single",1,5,0.034965429978760905
11,"Straight",5,8,0.01059695422296534
11,"Single",1,6,0.03684079714401916
11,"StraightBomb",6,9,0.00010167653305617064
11,"Single",1,7,0.0367052284332776
11,"Straight",5,7,0.009501107144471057
11,"Single",1,8,0.037270098061367433
11,"Single",1,9,0.03624203533824393
11,"Straight",5,9,0.010958470784942834
11,"StraightBomb",5,9,0.0003276243842921054
11,"Pair",2,3,0.014607528582403181
11,"Straight",8,9,0.0022255863346739573
11,"Single",1,2,0.033214334131682406
11,"Pair",2,12,0.013443897148538117
11,"Single",1,12,0.03292060192507569
11,"Straight",6,7,0.005603506710651181
11,"Straight",7,8,0.003513489086718785
11,"Single",1,14,0.032807627999457724
11,"Straight",5,6,0.008235799177549822
14,"Straight",6,10,0.007676479407719908
14,"Pair",2,4,0.012164076475271686
14,"Straight",10,10,0.00037637910889143947
14,"Straight",5,5,0.003600417739450528
14,"Straight",8,10,0.0032840111259319
14,"Straight",7,7,0.0018177870149207432
14,"Straight",7,10,0.005198994943698235
14,"Straight",9,9,0.0007113978761464569
14,"Straight",6,6,0.0025353889423126636
14,"Straight",7,11,0.005186586841207309
14,"Straight",9,10,0.0019398000227481879
